profile_id,archetype,seed,algorithm,raw_hv,nHV
COMF_0017,comfort_seeker,1,canonical-NSGA-III,6.6036819149089996e-06,0.5966006845053733
COMF_0017,comfort_seeker,1,NSGA-II,7.256332605045074e-06,0.6555635257650363
COMF_0017,comfort_seeker,2,PI-NSGA-III,8.143539964010009e-06,0.7357170710867266
COMF_0017,comfort_seeker,2,canonical-NSGA-III,8.02904154746929e-06,0.7253728669649695
COMF_0017,comfort_seeker,2,NSGA-II,9.155652989122056e-06,0.8271550493781101
COMF_0017,comfort_seeker,3,PI-NSGA-III,8.789879040737382e-06,0.7941096981948775
COMF_0017,comfort_seeker,3,canonical-NSGA-III,9.03762966659415e-06,0.8164923924065838
COMF_0017,comfort_seeker,3,NSGA-II,9.470918444035224e-06,0.8556372792349801
COMF_0017,comfort_seeker,4,PI-NSGA-III,8.260682123485817e-06,0.7463001205776358
COMF_0017,comfort_seeker,4,canonical-NSGA-III,8.24899406969362e-06,0.7452441792129834
COMF_0017,comfort_seeker,4,NSGA-II,8.797528910588238e-06,0.79480081530927
COMF_0018,comfort_seeker,0,PI-NSGA-III,1.1071804754313957e-05,0.8227885370028039
COMF_0018,comfort_seeker,0,canonical-NSGA-III,1.0473868085106498e-05,0.7783535556971731
COMF_0018,comfort_seeker,0,NSGA-II,1.1679795592387422e-05,0.8679706823955557
COMF_0018,comfort_seeker,1,PI-NSGA-III,1.3456440210805011e-05,1.0
COMF_0018,comfort_seeker,1,canonical-NSGA-III,1.287982349343445e-05,0.9571493865883223
COMF_0018,comfort_seeker,1,NSGA-II,1.3049256207854313e-05,0.9697405854318184
COMF_0018,comfort_seeker,3,PI-NSGA-III,7.868470545917922e-06,0.5847364104215199
COMF_0018,comfort_seeker,3,canonical-NSGA-III,7.760855419300478e-06,0.5767391150795442
COMF_0018,comfort_seeker,3,NSGA-II,8.265974625550595e-06,0.6142764725334514
COMF_0018,comfort_seeker,2,PI-NSGA-III,9.176554769148429e-06,0.6819451969013323
COMF_0018,comfort_seeker,2,canonical-NSGA-III,9.72752954344686e-06,0.722890258571953
COMF_0018,comfort_seeker,2,NSGA-II,1.0422517197839605e-05,0.7745374731030811
COMF_0018,comfort_seeker,4,PI-NSGA-III,1.1920025518870123e-05,0.8858230952714221
COMF_0018,comfort_seeker,4,canonical-NSGA-III,1.1848847327227313e-05,0.8805335691762772
COMF_0018,comfort_seeker,4,NSGA-II,1.2358103156551881e-05,0.9183783350539315
COMF_0019,comfort_seeker,0,PI-NSGA-III,7.211872125113535e-07,0.9625095215591123
COMF_0019,comfort_seeker,0,canonical-NSGA-III,7.403828713583011e-07,0.9881283956770399
COMF_0019,comfort_seeker,0,NSGA-II,7.492780033418734e-07,1.0
COMF_0019,comfort_seeker,1,PI-NSGA-III,4.195695790168355e-07,0.5599651626572552
COMF_0019,comfort_seeker,1,canonical-NSGA-III,4.0872912160452267e-07,0.545497291768262
COMF_0019,comfort_seeker,1,NSGA-II,4.538729789541226e-07,0.6057471017830398
COMF_0019,comfort_seeker,3,PI-NSGA-III,6.009927001472933e-07,0.8020957474619446
COMF_0019,comfort_seeker,3,canonical-NSGA-III,6.234317612003958e-07,0.8320433249338861
COMF_0019,comfort_seeker,3,NSGA-II,6.441327986603353e-07,0.8596713046258166
COMF_0019,comfort_seeker,2,PI-NSGA-III,5.443715333862697e-07,0.7265281123405528
COMF_0019,comfort_seeker,2,canonical-NSGA-III,5.739971254972319e-07,0.7660669643805545
COMF_0019,comfort_seeker,2,NSGA-II,6.084496351580907e-07,0.8120479080452507
COMF_0019,comfort_seeker,4,PI-NSGA-III,3.2093356938592174e-07,0.42832375694270747
COMF_0019,comfort_seeker,4,canonical-NSGA-III,3.222576990366813e-07,0.43009096436752675
COMF_0019,comfort_seeker,4,NSGA-II,3.5700854313833006e-07,0.4764700705826508
