generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
52,6542.972956608255,,0.06783005245492543,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
53,6543.947370187398,,0.06945167814841091,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
54,6544.644215408661,,0.07709579031802184,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
55,6545.337516188762,,0.08467216390167465,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
56,6545.15007458728,,0.06444024728888938,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
57,6545.109381463112,,0.08057818591308642,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
58,6545.165152720687,,0.07888582799504908,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
59,6547.116015253318,,0.09011576421231811,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
60,6547.1609358036285,,0.09078939302646646,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
61,6546.278575933338,,0.07983305464952613,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
62,6546.316643666525,,0.06684565028693118,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
63,6548.6512461891025,,0.07145719772477765,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
64,6546.908908812018,,0.06956570920534653,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
65,6547.106662279321,,0.08994034644215063,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
66,6546.467502777003,,0.08707195260780715,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
67,6546.09998145686,,0.07689806077829572,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
68,6548.373236478446,,0.07406083782577264,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
69,6548.6756234339455,,0.0726112095882065,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
70,6550.056729775906,,0.08635435037322019,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
71,6547.675767632338,,0.08367836928521427,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
72,6548.477085534927,,0.1114383517999961,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
73,6548.0015493354795,,0.10717761402778728,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
74,6553.810560822938,,0.10429589440504325,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
75,6551.679931173496,,0.10121403183378999,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
76,6550.234883360248,,0.1034703962709781,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
77,6555.968321489781,,0.1066461126617028,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
78,6554.745155296807,,0.10453268536024708,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
79,6554.573975924984,,0.07743184832489314,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
80,6554.3046610679085,,0.10442426770700582,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
81,6552.644797444094,,0.08042623236859023,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
82,6553.181724031472,,0.08442299532191876,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
83,6549.823213678397,,0.07885176555706308,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
84,6551.266479077636,,0.09666750349522463,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
85,6551.898684105772,,0.0974232350529863,1.0,168,168,STU_0047,nsga2,15,50.21083270898089
