profile_id,n_pairs,mean_diff_N3_minus_N2,std_diff,paired_dz,wilcoxon_p,winner
STU_0402,30,0.029206689626466848,0.009184558221288379,3.17997762361289,1.862645149230957e-09,NSGA-III
STU_0422,30,0.03667192604374398,0.011038784779284385,3.322098109255947,1.862645149230957e-09,NSGA-III
STU_0157,30,0.02360650550490129,0.007059613206430425,3.343880863529282,1.862645149230957e-09,NSGA-III
STU_0242,30,0.0395635127837959,0.011753395206897261,3.366134813588059,1.862645149230957e-09,NSGA-III
STU_0372,30,0.061512998185237415,0.01824066819284766,3.3722996073881357,1.862645149230957e-09,NSGA-III
STU_0030,30,0.07318630052083593,0.02162879905356375,3.383743144480188,1.862645149230957e-09,NSGA-III
STU_0021,30,0.03671201924196977,0.010712214917297475,3.427117503280231,1.862645149230957e-09,NSGA-III
STU_0178,30,0.018046134336312396,0.005127683048938354,3.5193544850726886,1.862645149230957e-09,NSGA-III
STU_0309,30,0.021879493256617373,0.006094073427981382,3.5902903887170257,1.862645149230957e-09,NSGA-III
STU_0488,30,0.04394386168699607,0.011884005526563601,3.697731508856253,1.862645149230957e-09,NSGA-III
STU_0495,30,0.02873724843039565,0.007371518305688871,3.898416477948384,1.862645149230957e-09,NSGA-III
STU_0273,30,0.04121347048863875,0.010030423488286868,4.108846504513615,1.862645149230957e-09,NSGA-III
STU_0087,30,0.03339133540984312,0.008102671772949554,4.121027772755001,1.862645149230957e-09,NSGA-III
STU_0442,30,0.03187612966499497,0.007609400819330707,4.189045947483506,1.862645149230957e-09,NSGA-III
STU_0668,30,0.04600669916423198,0.00994859633172863,4.624441240771303,1.862645149230957e-09,NSGA-III
STU_0107,30,0.05565454544004343,0.011472521992233989,4.851116910276334,1.862645149230957e-09,NSGA-III
STU_0521,30,0.04920938853718866,0.009954940739329197,4.9432126042474644,1.862645149230957e-09,NSGA-III
