plan,profile_id,algo_a,algo_b,n,mean_diff,cohen_dz_per_profile
extended_benchmark_30profiles,STU_0217,nsga2,nsga3,10,-0.006797582680805025,-0.9821644537351507
extended_benchmark_30profiles,STU_0217,nsga2,smsemoa,5,0.00466066409213961,0.6462944033694106
extended_benchmark_30profiles,STU_0217,nsga3,smsemoa,5,0.013386409762766505,3.061766493442398
extended_benchmark_30profiles,STU_0242,moead,nsga2,10,-0.743695681696191,-23.548640876417664
extended_benchmark_30profiles,STU_0242,moead,nsga3,10,-0.780517440356004,-35.226109054636616
extended_benchmark_30profiles,STU_0242,moead,smsemoa,5,-0.7416905167152443,-25.88978625883446
extended_benchmark_30profiles,STU_0242,nsga2,nsga3,10,-0.036821758659812985,-1.5454377368354983
extended_benchmark_30profiles,STU_0242,nsga2,smsemoa,5,-0.013053079741509798,-0.4223577849786702
extended_benchmark_30profiles,STU_0242,nsga3,smsemoa,5,0.028075845932835984,1.5734720603540069
extended_benchmark_30profiles,STU_0243,moead,nsga2,10,-0.6685952593523593,-29.638024542398345
extended_benchmark_30profiles,STU_0243,moead,nsga3,10,-0.6809167887261447,-30.124625854599774
extended_benchmark_30profiles,STU_0243,moead,smsemoa,5,-0.6277582995212956,-14.506498705534188
extended_benchmark_30profiles,STU_0243,nsga2,nsga3,10,-0.012321529373785422,-1.3882140711339122
extended_benchmark_30profiles,STU_0243,nsga2,smsemoa,5,0.04395482036057645,0.8572644350669636
extended_benchmark_30profiles,STU_0243,nsga3,smsemoa,5,0.05738135586954833,1.0773395552741396
extended_benchmark_30profiles,STU_0244,moead,nsga2,10,-0.6521394694371481,-13.924190874567252
extended_benchmark_30profiles,STU_0244,moead,nsga3,10,-0.6776424425787908,-22.65315283059977
extended_benchmark_30profiles,STU_0244,moead,smsemoa,5,-0.656892083200177,-27.762850478360324
extended_benchmark_30profiles,STU_0244,nsga2,nsga3,10,-0.025502973141642703,-1.1470298120863103
extended_benchmark_30profiles,STU_0244,nsga2,smsemoa,5,-0.005139093213760581,-0.2257039377795097
extended_benchmark_30profiles,STU_0244,nsga3,smsemoa,5,0.024727370960279126,1.68448090308962
extended_benchmark_30profiles,STU_0260,moead,nsga2,10,-0.7971598695509596,-31.885080591237166
extended_benchmark_30profiles,STU_0260,moead,nsga3,10,-0.8359687470162577,-24.82590212738256
extended_benchmark_30profiles,STU_0260,moead,smsemoa,5,-0.7994551018132527,-41.92715221222423
extended_benchmark_30profiles,STU_0260,nsga2,nsga3,10,-0.0388088774652981,-1.8299622553041044
extended_benchmark_30profiles,STU_0260,nsga2,smsemoa,5,0.0006613895515379164,0.07060934473075396
extended_benchmark_30profiles,STU_0260,nsga3,smsemoa,5,0.040927083562044754,4.038303069555511
extended_benchmark_30profiles,STU_0287,moead,nsga2,10,-0.6151872907200143,-21.480608274038808
extended_benchmark_30profiles,STU_0287,moead,nsga3,10,-0.6426546306896317,-23.29286298201592
